setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_tinyllama,LEX+DEFL,,0.8240540293547909,0.0011409094131449,0.8372093023255814,1634,817,0.5
truthfulqa_tinyllama,PH_SINK+PH_0DTOT,1408.0,0.8109017526880593,0.0026887847008869,0.8396572827417381,1634,817,0.5
truthfulqa_tinyllama,LEX+0D,,0.829463856333213,0.0010612390781546,0.8372093023255814,1634,817,0.5
truthfulqa_tinyllama,HIDDEN+0D,2092.0,0.8825958180584249,0.0013854696346324,0.8788249694002448,1634,817,0.5
truthfulqa_tinyllama,LOGPROB+0D,50.0,0.6824546921372487,0.0009552543886775,0.7172582619339045,1634,817,0.5
truthfulqa_tinyllama,NONTOPO+DEFL,2956.0,0.8836100669823772,0.0009303032211508,0.8824969400244798,1634,817,0.5
truthfulqa_tinyllama,NONTOPO+0D,2868.0,0.8847951052376893,0.0011804527489661,0.8873929008567931,1634,817,0.5
truthfulqa_tinyllama,NONTOPO,2824.0,0.8847576514369525,0.0011214792915944,0.8873929008567931,1634,817,0.5
truthfulqa_tinyllama,PH_SINK,704.0,0.8071608670704685,0.0025459312875308,0.8445532435740514,1634,817,0.5
truthfulqa_tinyllama,PH_0DTOT,704.0,0.8042634410454704,0.0017594847212848,0.8310893512851897,1634,817,0.5
truthfulqa_tinyllama,LEX+SINK,,0.831128303237956,0.001191451967576,0.8323133414932681,1634,817,0.5
truthfulqa_tinyllama,SINK+ANS,176.0,0.686642027059622,0.0033184945590486,0.7221542227662179,1634,817,0.5
truthfulqa_tinyllama,SINK+DEFL,176.0,0.689040568458806,0.0015122810605422,0.7503059975520195,1634,817,0.5
truthfulqa_tinyllama,0D+1D,132.0,0.6589951295077522,0.0017271214570378,0.7343941248470012,1634,817,0.5
truthfulqa_tinyllama,0D+SINK,88.0,0.6633247888729252,0.0003958997251179,0.7233782129742962,1634,817,0.5
truthfulqa_tinyllama,PH_ENT,704.0,0.8169093423262406,0.0008633666424068,0.8384332925336597,1634,817,0.5
truthfulqa_tinyllama,SINK+1D,132.0,0.6507897508423359,0.0022671256357567,0.7405140758873929,1634,817,0.5
truthfulqa_smollm,LEX+DEFL,,0.821878712607998,0.0004552032487374,0.8421052631578947,1634,817,0.5
truthfulqa_smollm,LEN,2.0,0.5240011445881505,0.0002676688975773,0.554467564259486,1634,817,0.5
truthfulqa_smollm,NONTOPO+0D,2942.0,0.8991998370010592,0.0012290259502651,0.9020807833537332,1634,817,0.5
truthfulqa_smollm,PH_SINK+PH_0DTOT,1536.0,0.8251431858802167,0.0020711312291044,0.8555691554467564,1634,817,0.5
truthfulqa_smollm,NONTOPO,2894.0,0.8993301762276232,0.001514358769524,0.9033047735618116,1634,817,0.5
truthfulqa_smollm,SINK+DEFL,192.0,0.6519672983375007,0.0026600926698343,0.6744186046511628,1634,817,0.5
truthfulqa_smollm,NONTOPO+DEFL,3038.0,0.8991488998320571,0.001077807910932,0.8971848225214198,1634,817,0.5
truthfulqa_smollm,LOGPROB+0D,54.0,0.613857307011801,0.0011146696329704,0.627906976744186,1634,817,0.5
truthfulqa_smollm,HIDDEN+0D,2096.0,0.8939652938100853,0.0020597123603184,0.8910648714810282,1634,817,0.5
truthfulqa_smollm,LEX+0D,,0.8269709313561722,0.0008588240628496,0.8396572827417381,1634,817,0.5
