setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_phi3,HIDDEN,3072.0,0.9327239849645462,0.0006887430687959,0.944920440636475,1634,817,0.5
truthfulqa_phi3,PH_0DTOT,1024.0,0.8453128066529936,0.0014226462680464,0.8824969400244798,1634,817,0.5
truthfulqa_phi3,PH_SINK,1024.0,0.8709117303805756,0.0008295870221865,0.9008567931456548,1634,817,0.5
truthfulqa_phi3,SINK+1D,192.0,0.6512796465559733,0.0010589918049074,0.6964504283965728,1634,817,0.5
truthfulqa_phi3,SINK+ANS,256.0,0.6746613052799372,0.001524748352722,0.6976744186046512,1634,817,0.5
truthfulqa_phi3,SINK+DEFL,256.0,0.6842974191334988,0.0023178753749809,0.7184822521419829,1634,817,0.5
truthfulqa_phi3,0D+1D,192.0,0.643284009174683,0.0013822713048483,0.7050183598531212,1634,817,0.5
truthfulqa_phi3,0D,64.0,0.6458773103376985,0.001092811968181,0.7086903304773562,1634,817,0.5
truthfulqa_phi3,LEN,2.0,0.5223187198590539,0.0003551431452822,0.5624235006119951,1634,817,0.5
truthfulqa_phi3,DEFL,192.0,0.6390637149076615,0.0011390547516683,0.6842105263157895,1634,817,0.5
truthfulqa_phi3,ANS,192.0,0.6289496905566984,0.0041540257420651,0.6505507955936353,1634,817,0.5
truthfulqa_phi3,0D+SINK,128.0,0.6566130677808922,0.0007454420048689,0.7037943696450428,1634,817,0.5
truthfulqa_phi3,PH_ENT,1024.0,0.8635243427232508,0.001012686746308,0.8947368421052632,1634,817,0.5
truthfulqa_phi3,NONTOPO+0D,4262.0,0.9364498890618422,0.0006367426165815,0.9424724602203184,1634,817,0.5
truthfulqa_phi3,LEX+DEFL,,0.8021795115724754,0.0001071641317129,0.8274173806609547,1634,817,0.5
truthfulqa_phi3,HIDDEN+0D,3136.0,0.9328168703903734,0.0007878592728441,0.9436964504283966,1634,817,0.5
truthfulqa_phi3,LEX+0D,,0.8208584710759278,0.0003379704654403,0.8421052631578947,1634,817,0.5
truthfulqa_phi3,LOOKBACK,1024.0,0.8921480353983362,0.0003884777511845,0.9020807833537332,1634,817,0.5
truthfulqa_phi3,PH_0D,2048.0,0.8675453827703528,0.00068124069652,0.8812729498164015,1634,817,0.5
truthfulqa_phi3,LEX+SINK,,0.8196269901077021,0.0006590646838851,0.8335373317013464,1634,817,0.5
truthfulqa_phi3,LOGPROB+0D,70.0,0.6549680968525324,0.0010768189971605,0.6940024479804161,1634,817,0.5
truthfulqa_phi3,NONTOPO+DEFL,4390.0,0.937040160961454,0.0007236527490346,0.9388004895960832,1634,817,0.5
truthfulqa_tinyllama,SINK+ANS,176.0,0.684710909093633,0.0041106629677057,0.7197062423500612,1634,817,0.5
truthfulqa_tinyllama,SINK+DEFL,176.0,0.687906467372496,0.0014874172642562,0.7490820073439413,1634,817,0.5
truthfulqa_tinyllama,SINK+1D,132.0,0.651450435887333,0.0016224805876076,0.7294981640146879,1634,817,0.5
truthfulqa_tinyllama,LEGACY_MSTPROXY,22.0,0.6269751261818547,0.0009367642739565,0.7405140758873929,1634,817,0.5
truthfulqa_tinyllama,LEX,,0.8200734394124847,0.001369954612001,0.8292533659730722,1634,817,0.5
truthfulqa_tinyllama,LOOKBACK,704.0,0.8503421030159298,0.0028466455881712,0.8457772337821298,1634,817,0.5
