setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
truthfulqa_tinyllama,SUP_maxp_vs_toha,SUP_toha,SUP_maxp,0.8445951918308766,0.8431974159873795,-0.0013977758434970955,0.0022420899956329195,-0.005754439399001341,0.0029513969518598715,-0.00506255533799057,0.0023164426679690053,0.5254,817,0.0001,True,0.9951263828504757,0.0,True,0.99999954726729,0.0,True,0.9999999999996545,0.0,True,1.0
truthfulqa_tinyllama,SUP_sinkr_vs_toha,SUP_toha,SUP_sinkr,0.8445951918308766,0.8480634137791034,0.003468221948226824,0.002736778524133791,-0.0018622029726332867,0.008762803581781857,-0.0010009153708900153,0.007955561814501832,0.209,817,0.0083,True,0.9554710754256219,0.0,True,0.9998749674403689,0.0,True,0.9999999851258172,0.0,True,0.9999999999999312
truthfulqa_tinyllama,LF_toha_beyond_maxp,SUP_maxp,SUP_maxp(+)SUP_toha,0.8427614537468033,0.8445367639017273,0.001775310154923937,0.0012127114410092437,-0.000584279291493961,0.004099056314036646,-0.0002382061726859952,0.0037664291096931746,0.1474,817,0.0,True,0.9999999999591966,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_tinyllama,LF_toha_beyond_nontopo,NONTOPO,NONTOPO(+)SUP_toha,0.8844730025513529,0.8852145878059414,0.0007415852545885615,0.0010619368501606093,-0.0013258645460824114,0.0028374999438193216,-0.0009917766435102449,0.002473449000657607,0.4868,817,0.0,True,0.9999999999999922,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_smollm,TOHA_maxp_vs_toha,TOHA_toha,TOHA_maxp,0.7014242931344187,0.6948968447420107,-0.006527448392407931,0.0033812213159255494,-0.013264750430344169,9.307269483087583e-05,-0.012139975340417664,-0.0009842858833628565,0.053,817,0.1493,False,0.8107016487676164,0.0075,True,0.9947521570973081,0.0001,True,0.9999804674942474,0.0,True,0.9999999910187058
truthfulqa_smollm,TOHA_sinkr_vs_toha,TOHA_toha,TOHA_sinkr,0.7014242931344187,0.5948847097105721,-0.10653958342384662,0.009239550271882318,-0.12469010725270378,-0.08858408153542605,-0.12198755335293912,-0.09169439496381214,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.39676488107640884,1.0,False,0.7112672745890394
truthfulqa_smollm,SUP_maxp_vs_toha,SUP_toha,SUP_maxp,0.862429193589707,0.8595587343012394,-0.0028704592884676305,0.0031233234995964184,-0.009098427090184196,0.003122148829418969,-0.008078035742911105,0.002221909274909326,0.3544,817,0.0114,True,0.8804972291180793,0.0001,True,0.9984099335480947,0.0,True,0.9999980504200849,0.0,True,0.99999999979751
truthfulqa_smollm,SUP_sinkr_vs_toha,SUP_toha,SUP_sinkr,0.862429193589707,0.8414685485453692,-0.02096064504433781,0.006856560979076382,-0.03446236567194359,-0.007650875145507954,-0.03226614970433972,-0.00974368116927764,0.0022,817,0.9456,False,0.0,0.8075,False,0.4127545311192231,0.554,False,0.7966483974060647,0.2769,False,0.9546387571390835
truthfulqa_smollm,LF_toha_beyond_maxp,SUP_maxp,SUP_maxp(+)SUP_toha,0.8589070381684193,0.8639378326833851,0.005030794514965797,0.00173898039977545,0.0016479297786181513,0.00846309826828607,0.0021736687795603452,0.007910242715610255,0.0038,817,0.002,True,0.9999596807308944,0.0,True,0.9999999999970668,0.0,True,1.0,0.0,True,1.0
truthfulqa_smollm,LF_toha_beyond_nontopo,NONTOPO,NONTOPO(+)SUP_toha,0.8989047010512533,0.9008148448888297,0.0019101438375763724,0.001270641685275955,-0.0006323325178392568,0.004359659859563222,-0.00019925421991973113,0.0039730991821588235,0.1392,817,0.0,True,0.9999999995190139,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
