N,kind,trial,n_subsets,max_filtration_diff,uniqueness_violations,ripser_mst_diff
5,random,4,31,0.0,0,9.473155149208878e-09
5,random,5,31,0.0,0,1.973805874300183e-08
5,random,6,31,0.0,0,1.62694271388375e-08
5,random,7,31,0.0,0,3.869283737856222e-08
5,random,8,31,0.0,0,1.8895017106501655e-08
5,random,9,31,0.0,0,2.295942991281663e-09
5,random,10,31,0.0,0,7.854755068592567e-09
5,random,11,31,0.0,0,3.5517729202183546e-08
5,random,12,31,0.0,0,1.6260736313000734e-08
5,random,13,31,0.0,0,2.6695155641576207e-08
5,random,14,31,0.0,0,3.2407603267614604e-08
5,ties,0,31,0.0,0,4.023313526779759e-08
5,ties,1,31,0.0,0,3.5762788286319847e-09
5,ties,2,31,0.0,0,1.9669532669297496e-08
5,ties,3,31,0.0,0,3.099441503451317e-08
5,ties,4,31,0.0,0,4.4628977846628004e-08
5,ties,5,31,0.0,0,2.2649765174520553e-08
5,ties,6,31,0.0,0,6.67572024326546e-08
5,ties,7,31,0.0,0,3.93390657826842e-08
5,ties,8,31,0.0,0,7.1525572131747595e-09
5,ties,9,31,0.0,0,1.1920930909070648e-09
5,ties,10,31,0.0,0,2.3841857821338408e-08
5,ties,11,31,0.0,0,2.562999767974361e-08
5,ties,12,31,0.0,0,1.4901161193847656e-08
5,ties,13,31,0.0,0,3.457069430723436e-08
5,ties,14,31,0.0,0,1.9669532669297496e-08
5,underflow,0,31,0.0,0,4.996043445615328e-08
5,underflow,1,31,0.0,0,2.596299175650074e-09
5,underflow,2,31,0.0,0,3.032411477477126e-08
5,underflow,3,31,0.0,0,8.094305181671757e-08
5,underflow,4,31,0.0,0,2.3460416720411104e-08
5,underflow,5,31,0.0,0,5.317426055029273e-09
5,underflow,6,31,0.0,0,2.9664214640234832e-08
5,underflow,7,31,0.0,0,2.6454682888754633e-08
5,underflow,8,31,0.0,0,1.546478234359938e-08
5,underflow,9,31,0.0,0,1.8661438616618398e-08
5,underflow,10,31,0.0,0,2.74919544906993e-08
5,underflow,11,31,0.0,0,1.9692660835346487e-09
5,underflow,12,31,0.0,0,4.017927723865e-08
5,underflow,13,31,0.0,0,1.8156445236172658e-08
5,underflow,14,31,0.0,0,1.878384203735095e-08
5,uniform,0,31,0.0,0,3.1789143761784544e-08
5,uniform,1,31,0.0,0,3.1789143761784544e-08
5,uniform,2,31,0.0,0,3.1789143761784544e-08
5,uniform,3,31,0.0,0,3.1789143761784544e-08
5,uniform,4,31,0.0,0,3.1789143761784544e-08
5,uniform,5,31,0.0,0,3.1789143761784544e-08
5,uniform,6,31,0.0,0,3.1789143761784544e-08
5,uniform,7,31,0.0,0,3.1789143761784544e-08
5,uniform,8,31,0.0,0,3.1789143761784544e-08
5,uniform,9,31,0.0,0,3.1789143761784544e-08
5,uniform,10,31,0.0,0,3.1789143761784544e-08
5,uniform,11,31,0.0,0,3.1789143761784544e-08
5,uniform,12,31,0.0,0,3.1789143761784544e-08
5,uniform,13,31,0.0,0,3.1789143761784544e-08
5,uniform,14,31,0.0,0,3.1789143761784544e-08
6,random,0,63,0.0,0,2.081160088707179e-08
6,random,1,63,0.0,0,1.6642392353105606e-08
6,random,2,63,0.0,0,3.507308043992907e-08
6,random,3,63,0.0,0,1.596435827977416e-08
6,random,4,63,0.0,0,2.6785800244510938e-08
6,random,5,63,0.0,0,2.0717162652061916e-08
6,random,6,63,0.0,0,5.357173327169562e-08
6,random,7,63,0.0,0,1.896528889488991e-08
6,random,8,63,0.0,0,1.7412470132427416e-08
6,random,9,63,0.0,0,8.213074664809028e-09
6,random,10,63,0.0,0,5.62341453402837e-08
6,random,11,63,0.0,0,3.484454147439919e-08
6,random,12,63,0.0,0,3.357788536106909e-08
6,random,13,63,0.0,0,2.4106335594353823e-08
6,random,14,63,0.0,0,1.6970683525130426e-08
6,ties,0,63,0.0,0,6.198883051311554e-08
6,ties,1,63,0.0,0,2.8610229740877458e-08
6,ties,2,63,0.0,0,4.172325152040912e-08
6,ties,3,63,0.0,0,3.218650812542023e-08
6,ties,4,63,0.0,0,8.344650304081824e-09
6,ties,5,63,0.0,0,5.602836639084785e-08
6,ties,6,63,0.0,0,2.6226043559063328e-08
6,ties,7,63,0.0,0,5.0067901824490946e-08
6,ties,8,63,0.0,0,2.9802322387695312e-08
6,ties,9,63,0.0,0,3.93390657826842e-08
6,ties,10,63,0.0,0,1.192092646817855e-09
6,ties,11,63,0.0,0,1.3113022223620874e-08
6,ties,12,63,0.0,0,7.390975920174014e-08
6,ties,13,63,0.0,0,5.364417798858767e-09
6,ties,14,63,0.0,0,7.1525572131747595e-09
6,underflow,0,63,0.0,0,3.215758415109349e-08
6,underflow,1,63,0.0,0,2.4296974210358258e-08
6,underflow,2,63,0.0,0,1.916834779791543e-08
6,underflow,3,63,0.0,0,1.0932658778273208e-08
6,underflow,4,63,0.0,0,3.772461276696504e-08
6,underflow,5,63,0.0,0,7.494517006989554e-09
6,underflow,6,63,0.0,0,2.019853084789247e-08
6,underflow,7,63,0.0,0,1.0013748052983829e-08
6,underflow,8,63,0.0,0,1.4880637611014436e-08
6,underflow,9,63,0.0,0,7.01530611380008e-08
6,underflow,10,63,0.0,0,5.7387711471790226e-08
6,underflow,11,63,0.0,0,3.368954626381537e-08
6,underflow,12,63,0.0,0,2.2168991087312406e-08
6,underflow,13,63,0.0,0,2.0202161721272205e-08
6,underflow,14,63,0.0,0,3.932796621697321e-08
6,uniform,0,63,0.0,0,1.1920928688624599e-08
6,uniform,1,63,0.0,0,1.1920928688624599e-08
6,uniform,2,63,0.0,0,1.1920928688624599e-08
6,uniform,3,63,0.0,0,1.1920928688624599e-08
6,uniform,4,63,0.0,0,1.1920928688624599e-08
6,uniform,5,63,0.0,0,1.1920928688624599e-08
6,uniform,6,63,0.0,0,1.1920928688624599e-08
6,uniform,7,63,0.0,0,1.1920928688624599e-08
6,uniform,8,63,0.0,0,1.1920928688624599e-08
6,uniform,9,63,0.0,0,1.1920928688624599e-08
6,uniform,10,63,0.0,0,1.1920928688624599e-08
6,uniform,11,63,0.0,0,1.1920928688624599e-08
6,uniform,12,63,0.0,0,1.1920928688624599e-08
6,uniform,13,63,0.0,0,1.1920928688624599e-08
6,uniform,14,63,0.0,0,1.1920928688624599e-08
7,random,0,127,0.0,0,1.1859543569414654e-08
7,random,1,127,0.0,0,2.967224688177339e-09
7,random,2,127,0.0,0,3.213107602206833e-08
7,random,3,127,0.0,0,4.870366776543733e-09
7,random,4,127,0.0,0,1.7118074957522822e-08
7,random,5,127,0.0,0,2.8747225933045684e-08
7,random,6,127,0.0,0,2.9785987010200188e-09
7,random,7,127,0.0,0,4.360438055073246e-08
7,random,8,127,0.0,0,2.7470458352496507e-08
7,random,9,127,0.0,0,6.264399221578287e-09
7,random,10,127,0.0,0,7.645510891052254e-09
7,random,11,127,0.0,0,3.832821748872561e-08
7,random,12,127,0.0,0,3.741597609518976e-08
7,random,13,127,0.0,0,1.6822942150440667e-08
7,random,14,127,0.0,0,3.11728221014107e-08
7,ties,0,127,0.0,0,1.907348590179936e-08
7,ties,1,127,0.0,0,1.4305114870438729e-08
7,ties,2,127,0.0,0,5.841255212857277e-08
7,ties,3,127,0.0,0,4.76837147544984e-09
7,ties,4,127,0.0,0,5.4836273299940785e-08
7,ties,5,127,0.0,0,8.344650304081824e-09
7,ties,6,127,0.0,0,4.410743681404483e-08
7,ties,7,127,0.0,0,1.0728836041806744e-08
7,ties,8,127,0.0,0,3.725290298461914e-09
7,ties,9,127,0.0,0,1.0490417512443173e-07
7,ties,10,127,0.0,0,2.3841857821338408e-08
7,ties,11,127,0.0,0,2.3841861818141297e-09
7,ties,12,127,0.0,0,8.225440994991118e-08
7,ties,13,127,0.0,0,2.1457672083613488e-08
7,ties,14,127,0.0,0,3.218650768133102e-08
7,underflow,0,127,0.0,0,2.7257114787460068e-08
7,underflow,1,127,0.0,0,7.14814927249563e-08
7,underflow,2,127,0.0,0,7.257618683809142e-08
7,underflow,3,127,0.0,0,4.5483464994333644e-08
7,underflow,4,127,0.0,0,3.340106591309677e-08
7,underflow,5,127,0.0,0,3.3330058712977007e-09
7,underflow,6,127,0.0,0,2.4283263400093347e-08
7,underflow,7,127,0.0,0,5.297014915583986e-08
7,underflow,8,127,0.0,0,2.4584186686382736e-08
7,underflow,9,127,0.0,0,1.7822854747606698e-08
7,underflow,10,127,0.0,0,1.314955522246919e-08
7,underflow,11,127,0.0,0,2.8371420768280586e-09
7,underflow,12,127,0.0,0,8.222463154794468e-09
7,underflow,13,127,0.0,0,1.8103976096028873e-09
7,underflow,14,127,0.0,0,1.0011501050399829e-07
7,uniform,0,127,0.0,0,2.0435877878810516e-08
7,uniform,1,127,0.0,0,2.0435877878810516e-08
7,uniform,2,127,0.0,0,2.0435877878810516e-08
7,uniform,3,127,0.0,0,2.0435877878810516e-08
7,uniform,4,127,0.0,0,2.0435877878810516e-08
7,uniform,5,127,0.0,0,2.0435877878810516e-08
7,uniform,6,127,0.0,0,2.0435877878810516e-08
7,uniform,7,127,0.0,0,2.0435877878810516e-08
7,uniform,8,127,0.0,0,2.0435877878810516e-08
7,uniform,9,127,0.0,0,2.0435877878810516e-08
7,uniform,10,127,0.0,0,2.0435877878810516e-08
7,uniform,11,127,0.0,0,2.0435877878810516e-08
7,uniform,12,127,0.0,0,2.0435877878810516e-08
7,uniform,13,127,0.0,0,2.0435877878810516e-08
7,uniform,14,127,0.0,0,2.0435877878810516e-08
8,random,0,255,0.0,0,6.144228947846386e-08
8,random,1,255,0.0,0,2.4845334678502695e-08
8,random,2,255,0.0,0,4.210304549445709e-08
8,random,3,255,0.0,0,2.6803173902578692e-08
8,random,4,255,0.0,0,1.3349521488237315e-08
8,random,5,255,0.0,0,7.772930699090352e-08
8,random,6,255,0.0,0,6.836459398584793e-09
8,random,7,255,0.0,0,1.8897482689794742e-08
8,random,8,255,0.0,0,7.62267520215687e-08
8,random,9,255,0.0,0,5.187043727872265e-08
8,random,10,255,0.0,0,1.6358880028377598e-08
8,random,11,255,0.0,0,9.15128950396138e-09
8,random,12,255,0.0,0,4.7475409825636916e-08
8,random,13,255,0.0,0,5.432329075460984e-08
8,random,14,255,0.0,0,8.855280064778981e-09
8,ties,0,255,0.0,0,1.4305115314527939e-08
8,ties,1,255,0.0,0,7.152557657263969e-09
8,ties,2,255,0.0,0,7.5101851848558e-08
8,ties,3,255,0.0,0,2.801418341746853e-08
8,ties,4,255,0.0,0,2.3841858265427618e-08
8,ties,5,255,0.0,0,7.152557657263969e-09
8,ties,6,255,0.0,0,5.7220458593576495e-08
8,ties,7,255,0.0,0,4.887580917767309e-08
8,ties,8,255,0.0,0,8.46385956876361e-08
8,ties,9,255,0.0,0,1.1920935349962747e-09
8,ties,10,255,0.0,0,5.7220459481754915e-08
8,ties,11,255,0.0,0,2.6226043559063328e-08
8,ties,12,255,0.0,0,4.5299529460862686e-08
8,ties,13,255,0.0,0,1.668930060816365e-08
8,ties,14,255,0.0,0,3.218650856950944e-08
8,underflow,0,255,0.0,0,2.7720977513467915e-08
8,underflow,1,255,0.0,0,2.9156819181253013e-09
8,underflow,2,255,0.0,0,8.11016258595032e-08
8,underflow,3,255,0.0,0,4.0400728984479883e-08
8,underflow,4,255,0.0,0,4.299344880109857e-09
8,underflow,5,255,0.0,0,6.144935227325732e-09
8,underflow,6,255,0.0,0,1.4415598492689696e-08
8,underflow,7,255,0.0,0,4.438773970605325e-08
8,underflow,8,255,0.0,0,5.896958121809348e-08
8,underflow,9,255,0.0,0,3.804816195440708e-08
8,underflow,10,255,0.0,0,5.101353295344779e-08
8,underflow,11,255,0.0,0,3.068181797516445e-08
8,underflow,12,255,0.0,0,3.592342867619891e-09
8,underflow,13,255,0.0,0,4.9561819537302654e-08
8,underflow,14,255,0.0,0,3.7472129399418463e-08
8,uniform,0,255,0.0,0,2.0435877878810516e-08
8,uniform,1,255,0.0,0,2.0435877878810516e-08
8,uniform,2,255,0.0,0,2.0435877878810516e-08
