example_id,label,mean_prob,min_prob
118,grounded,0.69775390625,0.09344482421875
118,hallucinated,0.318603515625,0.0
119,grounded,0.66650390625,6.35981559753418e-05
119,hallucinated,0.8974609375,2.562999725341797e-06
120,grounded,0.5,0.0
120,hallucinated,0.6376953125,0.0001533031463623047
121,grounded,2.2172927856445312e-05,2.2172927856445312e-05
121,hallucinated,0.63037109375,0.0005636215209960938
122,grounded,0.75,0.0001207590103149414
122,hallucinated,0.475830078125,0.0
123,grounded,0.75244140625,0.0092315673828125
123,hallucinated,0.77294921875,0.0
124,grounded,0.798828125,0.00057220458984375
124,hallucinated,0.76953125,1.9729137420654297e-05
125,grounded,0.9091796875,0.003002166748046875
125,hallucinated,0.364990234375,0.0004825592041015625
126,grounded,0.80224609375,0.131103515625
126,hallucinated,0.58349609375,2.110004425048828e-05
127,grounded,0.66845703125,9.775161743164062e-05
127,hallucinated,0.541015625,2.5033950805664062e-06
128,grounded,0.00026679039001464844,0.00026679039001464844
128,hallucinated,0.462890625,8.940696716308594e-07
129,grounded,0.6845703125,0.0953369140625
129,hallucinated,0.2724609375,0.0
130,grounded,0.7236328125,0.44775390625
130,hallucinated,0.55859375,0.0
131,grounded,0.7900390625,0.08709716796875
131,hallucinated,0.712890625,2.580881118774414e-05
132,grounded,0.83349609375,0.004352569580078125
132,hallucinated,0.50341796875,0.0
133,grounded,0.66552734375,5.960464477539063e-08
133,hallucinated,0.7822265625,0.0
134,grounded,0.97119140625,0.97119140625
134,hallucinated,0.685546875,0.0174407958984375
135,grounded,0.921875,0.611328125
135,hallucinated,0.60498046875,3.2186508178710938e-06
136,grounded,0.984375,0.86181640625
136,hallucinated,0.8486328125,8.821487426757812e-06
137,grounded,3.844499588012695e-05,3.844499588012695e-05
137,hallucinated,0.63671875,1.436471939086914e-05
138,grounded,0.7568359375,0.0268096923828125
138,hallucinated,0.71728515625,0.0
139,grounded,0.89990234375,0.0
139,hallucinated,0.7314453125,4.6133995056152344e-05
140,grounded,0.833984375,0.250244140625
140,hallucinated,0.1441650390625,5.960464477539063e-08
141,grounded,0.96484375,0.82470703125
141,hallucinated,0.70361328125,0.0003376007080078125
142,grounded,0.5009765625,0.0023097991943359375
142,hallucinated,0.58642578125,6.556510925292969e-07
143,grounded,0.90478515625,0.90478515625
143,hallucinated,0.60009765625,1.7881393432617188e-07
144,grounded,0.66650390625,0.00023543834686279297
144,hallucinated,0.437744140625,7.152557373046875e-07
145,grounded,0.6669921875,0.0008525848388671875
145,hallucinated,0.890625,0.0
146,grounded,0.75,4.76837158203125e-07
146,hallucinated,0.8779296875,5.960464477539063e-08
147,grounded,0.87890625,0.63671875
147,hallucinated,0.51708984375,3.5762786865234375e-07
148,grounded,0.744140625,0.27783203125
148,hallucinated,0.455078125,0.0
149,grounded,0.5263671875,1.043081283569336e-05
149,hallucinated,0.58447265625,0.0
150,grounded,0.84033203125,0.042938232421875
150,hallucinated,0.6875,0.000579833984375
151,grounded,0.669921875,0.01047515869140625
151,hallucinated,0.5185546875,1.0132789611816406e-06
152,grounded,0.501953125,0.004131317138671875
152,hallucinated,0.5556640625,2.980232238769531e-07
153,grounded,0.87451171875,0.00069427490234375
153,hallucinated,0.72607421875,4.947185516357422e-06
154,grounded,0.7998046875,0.00018036365509033203
154,hallucinated,0.7587890625,1.7881393432617188e-07
155,grounded,0.9453125,0.7265625
155,hallucinated,0.4990234375,0.0
156,grounded,0.8232421875,0.646484375
156,hallucinated,0.43359375,2.944469451904297e-05
157,grounded,0.75048828125,0.0023746490478515625
157,hallucinated,0.8623046875,0.01280975341796875
158,grounded,0.69775390625,0.093017578125
158,hallucinated,0.49609375,1.7881393432617188e-07
159,grounded,0.6533203125,0.0011339187622070312
159,hallucinated,0.59130859375,5.960464477539063e-08
160,grounded,0.00963592529296875,0.00963592529296875
160,hallucinated,0.7373046875,0.00016009807586669922
161,grounded,0.83203125,0.64794921875
161,hallucinated,0.71435546875,0.0
162,grounded,0.86474609375,0.053466796875
162,hallucinated,0.7451171875,3.039836883544922e-06
163,grounded,0.0,0.0
163,hallucinated,0.86083984375,3.5762786865234375e-07
164,grounded,4.088878631591797e-05,4.088878631591797e-05
164,hallucinated,0.61279296875,4.172325134277344e-07
165,grounded,0.90234375,0.0239410400390625
165,hallucinated,0.59716796875,1.7881393432617188e-07
166,grounded,0.75439453125,0.017333984375
166,hallucinated,0.5849609375,0.0
