Dataset,Feature Set,Normalization,Classifier,Nested CV AUC,Mean AUC,Std AUC
TruthfulQA (Qwen2.5-3B),0D + 1D,raw,lr_l1,0.695 ± 0.076,0.695111111111111,0.07597790452038437
TruthfulQA (Qwen2.5-3B),1D Only,raw,svm,0.546 ± 0.090,0.5457777777777778,0.08992287504739896
TruthfulQA (Qwen2.5-3B),0D + 1D,raw,svm,0.698 ± 0.058,0.6977777777777778,0.05781195570314345
TruthfulQA (Qwen2.5-3B),1D Only,raw,rf,0.639 ± 0.069,0.6391111111111111,0.06919073655260044
TruthfulQA (Qwen2.5-3B),0D + 1D,raw,rf,0.705 ± 0.115,0.7053333333333334,0.11499092825195785
TruthfulQA (Qwen2.5-3B),1D Only,raw,xgb,0.627 ± 0.067,0.6271111111111111,0.06744581730252022
TruthfulQA (Qwen2.5-3B),0D + 1D,raw,xgb,0.721 ± 0.077,0.7206666666666666,0.07728766212047943
TruthfulQA (Qwen2.5-3B),1D Only,raw,mlp,0.583 ± 0.107,0.5831111111111111,0.10697732539257163
TruthfulQA (Qwen2.5-3B),0D + 1D,raw,mlp,0.733 ± 0.062,0.7333333333333333,0.06244404902998573
TruthfulQA (Qwen2.5-3B),1D Only,per_token,lr_l2,0.561 ± 0.099,0.5613333333333335,0.09898347536362688
TruthfulQA (Qwen2.5-3B),0D + 1D,per_token,lr_l2,0.692 ± 0.076,0.692,0.07560913133174287
TruthfulQA (Qwen2.5-3B),1D Only,per_token,lr_l1,0.585 ± 0.094,0.5848888888888888,0.09443163311800415
TruthfulQA (Qwen2.5-3B),0D + 1D,per_token,lr_l1,0.686 ± 0.077,0.6862222222222223,0.07690815429803824
TruthfulQA (Qwen2.5-3B),1D Only,per_token,svm,0.571 ± 0.094,0.5711111111111111,0.09420230397434062
TruthfulQA (Qwen2.5-3B),0D + 1D,per_token,svm,0.695 ± 0.079,0.6951111111111111,0.07908613838056969
TruthfulQA (Qwen2.5-3B),1D Only,per_token,rf,0.623 ± 0.086,0.6226666666666667,0.08586984121115883
TruthfulQA (Qwen2.5-3B),0D + 1D,per_token,rf,0.716 ± 0.071,0.7155555555555555,0.07066526902880638
TruthfulQA (Qwen2.5-3B),1D Only,per_token,xgb,0.659 ± 0.075,0.6593333333333333,0.07468815828265093
TruthfulQA (Qwen2.5-3B),0D + 1D,per_token,xgb,0.717 ± 0.087,0.7166666666666666,0.08739438069909175
TruthfulQA (Qwen2.5-3B),1D Only,per_token,mlp,0.653 ± 0.121,0.6533333333333333,0.12091829707658489
TruthfulQA (Qwen2.5-3B),0D + 1D,per_token,mlp,0.737 ± 0.057,0.7373333333333332,0.057415961130965955
TruthfulQA (Qwen2.5-3B),1D Only,clique,lr_l2,0.568 ± 0.111,0.5675555555555555,0.11066666666666668
TruthfulQA (Qwen2.5-3B),0D + 1D,clique,lr_l2,0.704 ± 0.068,0.7044444444444445,0.06839969677212407
TruthfulQA (Qwen2.5-3B),1D Only,clique,lr_l1,0.576 ± 0.094,0.576,0.0938861932551886
TruthfulQA (Qwen2.5-3B),0D + 1D,clique,lr_l1,0.692 ± 0.074,0.6915555555555555,0.07421556856404157
TruthfulQA (Qwen2.5-3B),1D Only,clique,svm,0.569 ± 0.108,0.5693333333333334,0.10785358158971078
TruthfulQA (Qwen2.5-3B),0D + 1D,clique,svm,0.704 ± 0.072,0.7035555555555556,0.07177605777092945
TruthfulQA (Qwen2.5-3B),1D Only,clique,rf,0.594 ± 0.091,0.5942222222222223,0.09091143431323084
TruthfulQA (Qwen2.5-3B),0D + 1D,clique,rf,0.718 ± 0.070,0.7182222222222222,0.07019408719075425
